StudentID|StudentName|StudentAddress|StudentPhone
16120528 8531|Akeem Ayers|P.O. Box 862, 5008 Donec Rd.|297-144-8036
16471229 5254|Burke Walsh|Ap #464-3954 Eu Ave|990-416-4792
16440914 3361|Pearl Richards|246-8476 Consectetuer, Ave|217-282-0356
16950411 4324|Dacey William|P.O. Box 631, 3647 Quis St.|542-813-3661
16390119 3619|Noble Gordon|382-4454 Dui. Street|876-134-1693
16450501 4235|Thaddeus Patel|P.O. Box 956, 5513 Feugiat St.|219-356-7616
16340101 8431|Steel Barber|622-735 Tincidunt, St.|193-478-6618
16710828 1028|Josiah Gross|8770 Neque. St.|728-751-8202
16601114 0396|Fatima Pace|924-9348 Arcu. Avenue|488-163-6464
16170717 3439|Odessa Sanford|P.O. Box 628, 6526 Iaculis Road|880-166-5164
16571103 0493|Ivana Robertson|2818 Amet, Avenue|613-290-7681
16031029 7239|Kellie Ray|5718 Vel Rd.|251-689-4198
16920902 7060|Jael Moore|711-2760 Urna Rd.|854-227-3837
16570302 2334|Jael Arnold|9174 Ac St.|252-716-2484
16290803 3224|Melvin Howe|265-2370 Sed, St.|969-706-5929
16280818 8268|Octavius Mathis|1291 Duis Road|514-872-3665
16801115 4849|Brennan Warner|P.O. Box 862, 8981 Purus, Street|301-922-2660
16300530 6232|Henry Goodwin|P.O. Box 557, 8019 In Rd.|904-107-9567
16981204 2035|Clio Craft|9226 Etiam Street|871-949-0682
16740817 4022|Gloria Rutledge|8328 Est St.|640-290-7445
16451207 6979|Lesley Vance|Ap #305-7505 Amet Av.|939-394-8873
16790302 5596|Yvonne Ellison|8657 Donec Road|173-839-2368
16110610 4639|Ginger Bryant|Ap #275-2797 Auctor Rd.|259-537-9012
16121210 7252|Wilma Barr|Ap #296-786 Volutpat Ave|236-422-7836
16990522 0548|Jack Chang|6774 Nisi Av.|335-890-8061
16080612 7445|Dakota Mcleod|492 Netus St.|847-541-2123
16140127 3808|Hayfa Parsons|P.O. Box 157, 6319 Duis St.|805-756-0283
16101112 4326|Kylee Baker|P.O. Box 933, 4898 Ligula. Rd.|411-624-8214
16150819 9112|Harrison Alexander|732-3977 Quis, St.|420-902-0736
16451005 4440|Chloe Casey|Ap #827-9341 In, Road|431-602-4017
16980226 1421|Kadeem Osborne|P.O. Box 456, 4867 Lorem Street|907-923-4205
16230925 8362|Harrison Cardenas|772-6648 Metus. Avenue|670-226-5884
